model,type,fuel,price,features
Toyota Yaris,coupe,diesel,77164,all wheel drive
Tesla Model Y,coupe,hybrid,78733,"AWD, luxury, autopilot"
Toyota Corolla,coupe,hybrid,44722,"luxury, sporty"
Citroen C5 Aircross,hatchback,petrol,82884,"long range, fast charging, sporty"
Fiat Panda,suv,electric,17242,"autopilot, fuel efficient"
Volvo S60,coupe,electric,22666,fuel efficient
Toyota Yaris,suv,petrol,23116,"towing capacity, fuel efficient"
Toyota Camry,coupe,petrol,33708,"fast charging, all wheel drive"
Tesla Model Y,suv,diesel,70217,all wheel drive
Renault Megane,hatchback,diesel,69294,"towing capacity, reliable, autopilot"
Toyota Corolla,hatchback,hybrid,44712,AWD
BMW X1,hatchback,electric,87010,long range
Fiat Panda,hatchback,hybrid,71558,fast charging
BMW 3 Series,hatchback,diesel,20334,all wheel drive
Fiat Tipo,suv,petrol,27555,towing capacity
Renault Clio,truck,diesel,45584,fuel efficient
BMW X3,hatchback,electric,81663,"sporty, reliable"
Renault Captur,truck,hybrid,75977,"reliable, all wheel drive, luxury"
BMW 3 Series,coupe,petrol,60066,"towing capacity, fast charging"
Honda CR-V,truck,hybrid,87823,"autopilot, towing capacity"
Honda CR-V,coupe,hybrid,39648,"all wheel drive, sporty"
Citroen C4 Cactus,hatchback,electric,50066,long range
Tesla Model X,sedan,electric,35561,"AWD, fast charging, all wheel drive"
Honda Accord,hatchback,hybrid,79769,"fast charging, reliable"
Toyota Corolla,suv,hybrid,63332,"sporty, fuel efficient, towing capacity"
Ford Explorer,sedan,electric,49866,"towing capacity, reliable, AWD"
Honda Accord,suv,petrol,28475,"reliable, all wheel drive"
Volvo XC40,coupe,diesel,65369,"sporty, fast charging, long range"
Renault Clio,coupe,petrol,23259,towing capacity
Renault Megane,suv,diesel,45455,autopilot
Ford Mustang,truck,diesel,29113,"fast charging, autopilot, all wheel drive"
BMW X3,suv,diesel,35913,reliable
Renault Clio,sedan,hybrid,76109,"AWD, sporty, luxury"
Fiat 500,truck,hybrid,49490,"all wheel drive, luxury"
Volvo S60,truck,electric,55667,"sporty, AWD"
Citroen C3,suv,hybrid,80356,"all wheel drive, autopilot"
Citroen C4 Cactus,truck,petrol,46971,"luxury, reliable"
Tesla Model Y,sedan,diesel,67393,"fuel efficient, fast charging"
Volvo XC40,coupe,petrol,35622,"autopilot, long range, reliable"
Volvo S60,suv,diesel,22969,"AWD, long range"
Citroen C3,truck,hybrid,30266,"all wheel drive, reliable, fast charging"
Volvo XC60,truck,hybrid,67721,"fuel efficient, AWD"
Volvo S60,sedan,hybrid,50122,"sporty, long range"
Honda CR-V,suv,hybrid,32972,sporty
Renault Megane,coupe,electric,88192,"AWD, long range, fuel efficient"
Renault Clio,truck,hybrid,62379,"AWD, fuel efficient"
